"Asutuse registrikood";"Asutuse täisnimi";"Maakond, linn/vald, küla";"Tänav/maja";"Arhiv. kp";"Lõp.akt.nimi";"Lõpet. nr";"Lõpetamise akti kuupäev";"Lõpet.kp";"Arhiivis";"E-mail"
"75002426";"Aakre Lasteaed-Algkool";"Aakre küla, Puka vald, Valga maakond";"";"";"";"";"00000000";"";"";"ILME.HOBEMAGI@MAIL.EE"
"75002353";"Aakre Raamatukogu";"Aakre küla, Puka vald, Valga maakond";"";"";"";"";"00000000";"";"";"AAKRERAAMATUKOGU@HOT.EE"
"75002382";"Aakre Rahvamaja";"Aakre küla, Puka vald, Valga maakond";"";"";"";"";"00000000";"";"";"KRISTI.NAGLA@MAIL.EE"
"75015864";"Abja Gümnaasium";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"Abja tee 15";"";"";"";"00000000";"";"";"KOOL@ABJAG.VIL.EE"
"75015829";"Abja Kultuurimaja";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"Pärnu mnt 28";"";"";"";"00000000";"";"";"ABJAKULTUURIMAJA@HOT.EE"
"75015870";"Abja Lasteaed";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"Aia 24";"";"";"";"00000000";"";"";"ABJALAPSED@HOT.EE"
"75015835";"Abja Muusikakool";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"Pärnu mnt 28";"";"";"";"00000000";"";"";"ABJAMUUSIKAKOOL@HOT.EE"
"75036145";"Abja Noortekeskus";"Abja vald, Viljandi maakond";"Kooli tn 2";"00000000";"";"";"00000000";"00000000";"";"NOORTETUBA@ABJA.EE"
"75036151";"Abja Päevakeskus";"Abja vald, Viljandi maakond";"Pärnu tn 10";"00000000";"";"";"00000000";"00000000";"";"MARI@ABJA.EE"
"75027548";"Abja Raamatukogu";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"Pärnu mnt 28";"";"";"";"00000000";"";"";"ABJARMTK@ABJA.EE"
"75038842";"Abja Spordi- ja Tervisekeskus";"Abja vald, Viljandi maakond";"Abja tee 15";"00000000";"";"";"00000000";"00000000";"";"IMRE.JUGOMAE@GMAIL.COM"
"75015812";"Abja Vallavalitsus";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"Pärnu mnt 30";"";"";"";"00000000";"";"";"ABJAVV@ABJA.EE"
"75021511";"Abruka Raamatukogu";"Abruka küla, Kaarma vald, Saare maakond";"";"";"";"";"00000000";"";"";""
"75023533";"Adavere Põhikool";"Adavere alevik, Põltsamaa vald, Jõgeva maakond";"";"";"";"";"00000000";"";"";"APK@APK.EDU.EE"
"75026922";"Aegviidu Kool";"Aegviidu alev, Aegviidu vald, Harju maakond";"Pärna 1";"";"";"";"00000000";"";"";"KOOL@AEGVIIDU.EDU.EE"
"75026916";"Aegviidu Lasteaed";"Aegviidu alev, Aegviidu vald, Harju maakond";"Kase 10";"";"";"";"00000000";"";"";"LASTEAED@AEGVIIDU.EE"
"75026945";"Aegviidu Rahvamaja";"Aegviidu alev, Aegviidu vald, Harju maakond";"Pärna 12";"";"";"";"00000000";"";"";""
"75026939";"Aegviidu Vallaraamatukogu";"Aegviidu alev, Aegviidu vald, Harju maakond";"Piibe mnt 13";"";"";"";"00000000";"";"";"AEGVIIDU.RAAMATUKOGU@MAIL.EE"
"75021480";"Aegviidu Vallavalitsus";"Aegviidu alev, Aegviidu vald, Harju maakond";"Kase 10";"";"";"";"00000000";"";"";"AEGVV@AEGVIIDU.EE"
"75032526";"Ahja Valla Tuglase Muuseum";"Ahja alevik, Ahja vald, Põlva maakond";"Tartu mnt 21";"00000000";"";"";"00000000";"00000000";"";"AHJA.INFO@MAIL.EE"
"75008505";"Ahja Vallavalitsus";"Ahja alevik, Ahja vald, Põlva maakond";"Illimari 6";"";"";"";"00000000";"";"";"AHJA@AHJA.EE"
"75002809";"Ahtme Klubi";"Kohtla-Järve linn, Ida-Viru maakond";"Mardi 6";"";"";"";"00000000";"";"";"INFO@AHTMEKLUBI.COM"
"70004420";"Ahtme Kool";"Kohtla-Järve linn, Ida-Viru maakond";"Õpetajate 3";"";"";"";"00000000";"";"";"INFO@AHTMEKOOL.EE"
"75002790";"Ahtme Kunstide Kool";"Kohtla-Järve linn, Ida-Viru maakond";"Jaaniku 11";"";"";"";"00000000";"";"";"INFO@AHTMEK.EE"
"75004412";"Ahula Lasteaed-algkool";"Ahula küla, Albu vald, Järva maakond";"";"";"";"";"00000000";"";"";"TAMTIK@ALBU.EE"
"75004398";"Ahula Raamatukogu";"Ahula küla, Albu vald, Järva maakond";"";"";"";"";"00000000";"";"";"AHULARK@ALBU.EE"
"75004435";"Ahula Sotsiaalne Varjupaik";"Ahula küla, Albu vald, Järva maakond";"";"";"";"";"00000000";"";"";""
"75012535";"Aidu Lasteaed - Algkool";"Vägari küla, Pajusi vald, Jõgeva maakond";"Kooli tee 7";"";"";"";"00000000";"";"";"AIDU.LAK@PAJUSI.EE"
"75012564";"Aidu Raamatukogu";"Aidu küla, Pajusi vald, Jõgeva maakond";"Kooli tee 4-16";"";"";"";"00000000";"";"";"AIDURAAMAT@HOT.EE"
"75004820";"Ala Põhikool";"Ala küla, Helme vald, Valga maakond";"";"";"";"";"00000000";"";"";""
"75008321";"Alajõe Vallavalitsus";"Alajõe küla, Alajõe vald, Ida-Viru maakond";"Valla 8";"";"";"";"00000000";"";"";"ALAJOEVV@ALAJOEVV.EE"
"75037038";"Alasniidu Lasteaed";"Tiskre küla, Harku vald, Harju maakond";"Puisniidu tee 7";"00000000";"";"";"00000000";"00000000";"";""
"75014936";"Alatskivi Kunstide Kool";"Alatskivi alevik, Alatskivi vald, Tartu maakond";"";"";"";"";"00000000";"";"";"ALATSKIVI.KUNSTIDEKOOL@MAIL.EE"
"75006256";"Alatskivi Lasteaed";"Alatskivi alevik, Alatskivi vald, Tartu maakond";"Kooli 2";"";"";"";"00000000";"";"";"ALATSKIVILASTEAED@HOT.EE"
"75024691";"Alatskivi Valla Keskraamatukogu";"Alatskivi alevik, Alatskivi vald, Tartu maakond";"Kooli 1";"";"";"";"00000000";"";"";"ALATSKIVIRMTK@HOT.EE"
"75006233";"Alatskivi Vallavalitsus";"Alatskivi alevik, Alatskivi vald, Tartu maakond";"Tartu mnt 1";"";"";"";"00000000";"";"";"SEKRETAR@ALATSKIVI.EE"
"75024722";"Alavere Põhikool";"Alavere küla, Anija vald, Harju maakond";"Kose mnt.6";"";"";"";"00000000";"";"";"RENNA.REISI@MAIL.EE"
"75024745";"Alavere lasteaed \"Mõmmila\"";"Alavere küla, Anija vald, Harju maakond";"Kose mnt 5";"";"";"";"00000000";"";"";"ALAVERELASTEAED@HOT.EE"
"75004441";"Albu Laste Mängutuba";"Albu küla, Albu vald, Järva maakond";"";"";"";"";"00000000";"";"";"ALBULAPS@HOT.EE"
"75004429";"Albu Põhikool";"Albu küla, Albu vald, Järva maakond";"";"";"";"";"00000000";"";"";"ALBUPK@ALBU.EE"
"75004381";"Albu Raamatukogu";"Albu küla, Albu vald, Järva maakond";"";"";"";"";"00000000";"";"";"SILVI@ALBU.EE"
"75024834";"Albu Valla Rahvamajad";"Järva-Madise küla, Albu vald, Järva maakond";"";"";"";"";"00000000";"";"";"MALLE@ALBU.EE"
"75031124";"Albu Valla Toiduait";"Albu küla, Albu vald, Järva maakond";"";"00000000";"";"";"00000000";"00000000";"";"ENENIINSALU@ALBU.EE"
"75004346";"Albu Vallavalitsus";"Järva-Madise küla, Albu vald, Järva maakond";"";"";"";"";"00000000";"";"";"ALBU.VALD@ALBU.EE"
"75004458";"Albu valla asutus \"Teenus\"";"Järva-Madise küla, Albu vald, Järva maakond";"";"";"";"";"00000000";"";"";"KULDAR@ALBU.EE"
"75003944";"Allikukivi Raamatukogu";"Tihemetsa alevik, Saarde vald, Pärnu maakond";"Valga mnt 21";"";"";"";"00000000";"";"";"ALLIKUKIVI@PKR.EE"
"75026572";"Alu Lasteaed-Algkool";"Alu alevik, Rapla vald, Rapla maakond";"Keskuse tee 4";"";"";"";"00000000";"";"";""
"75025615";"Ambla Kultuurikeskus";"Aravete alevik, Ambla vald, Järva maakond";"Piibe mnt 27";"";"";"";"00000000";"";"";""
"75003447";"Ambla Lasteaed-Põhikool";"Ambla alevik, Ambla vald, Järva maakond";"Pikk 37";"";"";"";"00000000";"";"";"AMBLAPK@AMBLAPK.EDU.EE"
"75003418";"Ambla Raamatukogu";"Ambla alevik, Ambla vald, Järva maakond";"Pikk 31";"";"";"";"00000000";"";"";""
"75003329";"Ambla Vallavalitsus";"Ambla alevik, Ambla vald, Järva maakond";"Lai 22";"";"";"";"00000000";"";"";"INFO@AMBLA.EE"
"70004235";"Andmekaitse Inspektsioon";"Tallinn, Harju maakond";"Väike-Ameerika 19";"";"";"";"00000000";"";"";"INFO@AKI.EE"
"75037854";"Anija Valla Keskraamatukogu";"Kehra v-linn, Anija vald, Harju maakond";"Laste tn 6";"00000000";"";"";"00000000";"00000000";"";""
"75024780";"Anija Valla Kultuurikeskus";"Kehra v-linn, Anija vald, Harju maakond";"F. R. Kreutzwaldi tn 2";"";"";"";"00000000";"";"";"KULTUUR@ANIJA.EE"
"75036622";"Anija Valla Spordikeskus";"Kehra v-linn, Anija vald, Harju maakond";"Spordi tn 2b";"00000000";"";"";"00000000";"00000000";"";"SPORT@ANIJA.EE"
"75018816";"Anija Vallavalitsus";"Kehra v-linn, Anija vald, Harju maakond";"F. R. Kreutzwaldi tn 6";"";"";"";"00000000";"";"";"ANIJA@ANIJA.EE"
"75014787";"Anna Haava nimeline Pala Kool";"Pala küla, Pala vald, Jõgeva maakond";"";"";"";"";"00000000";"";"";"KOOL@PALA.EE"
"75005877";"Anna Raamatukogu";"Purdi küla, Paide vald, Järva maakond";"Kanarbiku tee 4";"";"";"";"00000000";"";"";"ANNA.RMK@MAIL.EE"
"75005860";"Anna Vaba Aja Maja";"Anna küla, Paide vald, Järva maakond";"Kanarbiku tee 4";"";"";"";"00000000";"";"";"ANNAVAM.ANNAVAM@GMAIL.COM"
"75007066";"Anne Noortekeskus";"Tartu linn, Tartu maakond";"Uus 56";"";"";"";"00000000";"";"";"INFO@ANNENK.TARTU.EE"
"75010476";"Antsla Gümnaasium";"Antsla v.-linn, Antsla vald, Võru maakond";"Kooli tee 14";"";"";"";"00000000";"";"";"KOOL@ANTSLAKK.EDU.EE"
"75010461";"Antsla Kultuuri- ja Spordikeskus";"Antsla v.-linn, Antsla vald, Võru maakond";"Kooli tee 19";"";"";"";"00000000";"";"";""
"75010447";"Antsla Linnaraamatukogu";"Antsla v.-linn, Antsla vald, Võru maakond";"Kreutzwaldi 1";"";"";"";"00000000";"";"";""
"75010424";"Antsla Muusikakool";"Antsla v.-linn, Antsla vald, Võru maakond";"Kooli tee 19";"";"";"";"00000000";"";"";""
"75010418";"Antsla Vallavalitsus";"Antsla v.-linn, Antsla vald, Võru maakond";"Kreutzwaldi 1";"";"";"";"00000000";"";"";"VALD@ANTSLA.EE"
"75003335";"Aravete Hooldekeskus";"Aravete alevik, Ambla vald, Järva maakond";"Lasteaia 4";"";"";"";"00000000";"";"";""
"75003387";"Aravete Keskkool";"Aravete alevik, Ambla vald, Järva maakond";"Piibe mnt 21";"";"";"";"00000000";"";"";""
