"Asutuse registrikood";"Asutuse t�isnimi";"Maakond, linn/vald, k�la";"T�nav/maja";"Arhiv. kp";"L�p.akt.nimi";"L�pet. nr";"L�petamise akti kuup�ev";"L�pet.kp";"Arhiivis";"E-mail";"asut_liik";"maakond";"postikood";"telefon";"faks";"tegevuala_kood";"tegevusala";"Moodust_akti_nr";"Moodust_akti_kuup�ev";"Asutamise_kuup�ev";"P�him��ruse_akti_nr.";"P�him��ruse_kinnitamise_kuup�ev.";"Kande_kuup�ev";"Ettev�tte_registri_kood";"K�rgemalseisva_asutuse_number";"P�him��ruse_akti_nr";"P�him��ruse_kinnitamise_kuup�ev";"Moodustamisakt";"P�him��ruse_akt";"Tegevusala_kirjeldus"
"75002426";"Aakre Lasteaed-Algkool";"Aakre k�la, Puka vald, Valga maakond";"";"";"";"";"00000000";"";"";"ILME.HOBEMAGI@MAIL.EE";"
Valla ametiasutuse hallatav asutus";"82 ";"67212 ";"769 3386 ";" ";"85201 ";"Lasteaed-algkoolide tegevus ";" ";"06.05.1993 ";"06.05.1993 ";"17 ";"27.04.2000 ";"22.05.2000 ";"51002822 ";"75002347 ";"19 ";"18.11.2010 ";"Valga maakonna Aakre kolhoosi üleandmisakt ";"Puka Vallavolikogu määrus \"Aakre Lasteaed-Algkooli põhimäärus\" ";"Lasteaed on koolieast noorematele lastele hoidu ja alushariduse omandamist võimaldav õppeasutus, Algkool on 6-klassiline kool, mis loob õpilastele võimalused alghariduse omandamiseks ja koolikohustuse täitmiseks. Luuakse igakülgsed võimalused ja tingimused lapse kujunemiseks isiksuseks."
"75002353";"Aakre Raamatukogu";"Aakre k�la, Puka vald, Valga maakond";"";"";"";"";"00000000";"";"";"AAKRERAAMATUKOGU@HOT.EE";"
Valla ametiasutuse hallatav asutus";"82 ";"67212 ";"769 2333 ";" ";"91011 ";"Raamatukogude tegevus ";"111/11 ";"05.08.1991 ";"05.08.1991 ";"17 ";"27.04.2000 ";"22.05.2000 ";"33001345 ";"75002347 ";"50 ";"21.12.1999 ";"Valga Maavalitsuse kiri ";"Puka Vallavolikogu määrus \"Puka, Aakre ja Kuigatsi raamatukogude põhimääruste kinnitamine\" ";"Osutab põhiteenuseid (kohapeal lugemine ja kojulaenutus) Puka valla elanikele ning teistele soovijatele vastavalt rahvaraamatukogu seadusele, teistele õigusaktidele ja raamatukogu kasutamise eeskirjadele."
"75002382";"Aakre Rahvamaja";"Aakre k�la, Puka vald, Valga maakond";"";"";"";"";"00000000";"";"";"KRISTI.NAGLA@MAIL.EE";"
Valla ametiasutuse hallatav asutus";"82 ";"67212 ";"769 3345 ";" ";"93291 ";"Kultuurikeskused ja rahvamajad ";"111/11 ";"05.08.1991 ";"05.08.1991 ";"17 ";"27.04.2000 ";"22.05.2000 ";"33001581 ";"75002347 ";"17 ";"27.04.2000 ";"Valga Maavalitsuse kiri ";"Puka Vallavolikogu määrus \"Puka ja Aakre rahvamajade põhimääruste kinnitamine\" ";"Taidlus- ja huvialaringide töö korraldamine, elanikkonna vaba aja veetmise korraldamine, kursuste, õpiringide korraldamine, kultuuriürituste korraldamine, ülevallaliste kultuuriürituste korraldamisel ja läbiviimisel osalemine ja Puka valda esindavate kultuuriürituste korraldamine."
"75015864";"Abja G�mnaasium";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"Abja tee 15";"";"";"";"00000000";"";"";"KOOL@ABJAG.VIL.EE";"
Valla ametiasutuse hallatav asutus";"84 ";"69402 ";"43 60 111 ";" ";"85313 ";"Gümnaasiumide tegevus ";"1 ";"03.02.1998 ";"01.09.1998 ";"17 ";"27.04.2000 ";"16.01.2001 ";"35001771 ";"75015812 ";"62 ";"23.08.2012 ";"Abja-Paluoja Linnavalitsuse määrus \"Nime muutmine\" ";"Abja Vallavolikogu määrus \"Abja Gümnaasiumi põhimäärus\" ";"Õpilastele põhi-ja üldkeskhariduse omandamiseks ja koolikohustuse täitmiseks võimaluse loomine."
"75015829";"Abja Kultuurimaja";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"P�rnu mnt 28";"";"";"";"00000000";"";"";"ABJAKULTUURIMAJA@HOT.EE";"
Valla ametiasutuse hallatav asutus";"84 ";"69403 ";"43 60 055 ";" ";"93291 ";"Kultuurikeskused ja rahvamajad ";" ";"01.02.1992 ";"01.02.1992 ";"17 ";"27.04.2000 ";"16.01.2001 ";"35009859 ";"75015812 ";"41 ";"18.01.2007 ";"Viljandi Maakonnavalitsuse akt ";"Abja Vallavolikogu määrus \"Abja Kultuurimaja põhimäärus\" ";"Elanikkonna kultuuriline teenindamine."
"75015870";"Abja Lasteaed";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"Aia 24";"";"";"";"00000000";"";"";"ABJALAPSED@HOT.EE";"
Valla ametiasutuse hallatav asutus";"84 ";"69403 ";"435 4170 ";" ";"85102 ";"Lasteaedade tegevus ";"6 ";"26.03.1992 ";"26.03.1992 ";"17 ";"27.04.2000 ";"16.01.2001 ";"35010199 ";"75015812 ";"21 ";"23.09.2010 ";"Viljandi Maakonnavalitsuse Haridusameti akt ";"Abja Vallavolikogu 20.04.2010 määruse nr 17\"Abja Lasteaia põhimäärus\"muutmine ";"Võimaldab koolieast noorematele lastele hoidu ja alushariduse omandamist."
"75015835";"Abja Muusikakool";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"P�rnu mnt 28";"";"";"";"00000000";"";"";"ABJAMUUSIKAKOOL@HOT.EE";"
Valla ametiasutuse hallatav asutus";"84 ";"69403 ";"436 1056 ";" ";"85521 ";"Muusika- ja kunstikoolitus ";" ";"01.01.1991 ";"01.02.1992 ";"17 ";"27.04.2000 ";"01.11.2000 ";"35010153 ";"75015812 ";"64 ";"23.08.2012 ";"Viljandi Maakonnavalitsuse akt ";"Abja Vallavolikogu määrus \"Abja Muusikakooli põhimäärus\" ";"Plaanipärane muusikahariduse andmine"
"75036145";"Abja Noortekeskus";"Abja vald, Viljandi maakond";"Kooli tn 2";"00000000";"";"";"00000000";"00000000";"";"NOORTETUBA@ABJA.EE";"
Valla ametiasutuse hallatav asutus";"84 ";"69403 ";"4360015 ";" ";"85529 ";"Muu huvikoolitus ";"4 ";"17.12.2009 ";"17.12.2009 ";"17 ";"27.04.2000 ";"26.02.2010 ";" ";"75015812 ";"4 ";"17.12.2009 ";"Abja Vallavolikogu määrus \"Abja Noortekeskuse asutamine ja põhimääruse kinnitamine\" ";"Abja Vallavolikogu määrus \"Abja Noortekeskuse asutamine ja põhimääruse kinnitamine\" ";"Avatud meetodil noorsootöö korraldamine."
"75036151";"Abja P�evakeskus";"Abja vald, Viljandi maakond";"P�rnu tn 10";"00000000";"";"";"00000000";"00000000";"";"MARI@ABJA.EE";"
Valla ametiasutuse hallatav asutus";"84 ";"69402 ";"4364195 ";" ";"88101 ";"Vanurite ja puuetega inimeste sotsiaalhoolekanne ilma majutuseta ";"5 ";"17.12.2009 ";"17.12.2009 ";"17 ";"27.04.2000 ";"26.02.2010 ";" ";"75015812 ";"5 ";"17.12.2009 ";"Abja Vallavolikogu määrus \"Abja Päevakeskuse asutamine ja põhimääruse kinnitamine\" ";"Abja Vallavolikogu määrus \"Abja Päevakeskuse asutamine ja põhimääruse kinnitamine\" ";"Huvi- ja vabaaja tegevus ning sotsiaal- ja tervishoiuteenused eakamatele ja puuetega isikutele"
"75027548";"Abja Raamatukogu";"Abja-Paluoja v-linn, Abja vald, Viljandi maakond";"P�rnu mnt 28";"";"";"";"00000000";"";"";"ABJARMTK@ABJA.EE";"
Valla ametiasutuse hallatav asutus";"84 ";"69403 ";"436 0166 ";" ";"91011 ";"Raamatukogude tegevus ";"9 ";"28.08.2000 ";"01.09.2000 ";"17 ";"27.04.2000 ";"11.09.2001 ";"35009658 ";"75015812 ";"65 ";"23.08.2012 ";"Abja Vallavolikogu määrus \"Abja Raamatukogu põhimääruse kinnitamine\" ";"Abja Vallavolikogu määrus \"Abja Raamatukogu põhimäärus\" ";"Kogub, komplekteerib, säilitab ja teeb lugejale kättesaadavaks temale vajalikud trükised ja teised teavikud ning avalikud andmebaasid."
